,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
0,run-1,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
1,run-2,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
2,run-1,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
3,run-2,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
4,run-1,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
5,run-2,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
6,load-1,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
7,load-2,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
8,load-1,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
9,load-2,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
10,load-1,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
11,load-2,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
12,run-1,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
13,run-2,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
14,run-1,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
15,run-2,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
16,run-1,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
17,run-2,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
18,run-1,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
19,run-2,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
20,run-1,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
21,run-2,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
22,run-1,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
23,run-2,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
24,run-1,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
25,run-2,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
26,run-1,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
27,run-2,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
28,run-1,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
29,run-2,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
30,run-1,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
31,run-2,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
32,run-1,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
33,run-2,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
34,run-1,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
35,run-2,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
36,run-1,Redis,workload a,1000,1000,OVERALL,Throughput(ops/sec),971.8172983479103,RunTime(ms),1029.0
37,run-2,Redis,workload a,1000,1000,OVERALL,Throughput(ops/sec),669.7923643670463,RunTime(ms),1493.0
38,run-1,Redis,workload a,2000,2000,OVERALL,Throughput(ops/sec),1133.7868480725626,RunTime(ms),1764.0
39,run-2,Redis,workload a,2000,2000,OVERALL,Throughput(ops/sec),953.7434430138292,RunTime(ms),2097.0
40,run-1,Redis,workload a,3000,3000,OVERALL,Throughput(ops/sec),851.063829787234,RunTime(ms),3525.0
41,run-2,Redis,workload a,3000,3000,OVERALL,Throughput(ops/sec),222.0577350111029,RunTime(ms),13510.0
42,run-1,Redis,workload b,1000,1000,OVERALL,Throughput(ops/sec),702.2471910112358,RunTime(ms),1424.0
43,run-2,Redis,workload b,1000,1000,OVERALL,Throughput(ops/sec),973.709834469328,RunTime(ms),1027.0
44,run-1,Redis,workload b,2000,2000,OVERALL,Throughput(ops/sec),1030.9278350515463,RunTime(ms),1940.0
45,run-2,Redis,workload b,2000,2000,OVERALL,Throughput(ops/sec),1321.8770654329148,RunTime(ms),1513.0
46,run-1,Redis,workload b,3000,3000,OVERALL,Throughput(ops/sec),1209.1898428053205,RunTime(ms),2481.0
47,run-2,Redis,workload b,3000,3000,OVERALL,Throughput(ops/sec),627.3525721455458,RunTime(ms),4782.0
48,run-1,Redis,workload c,1000,1000,OVERALL,Throughput(ops/sec),684.4626967830253,RunTime(ms),1461.0
49,run-2,Redis,workload c,1000,1000,OVERALL,Throughput(ops/sec),971.8172983479103,RunTime(ms),1029.0
50,run-1,Redis,workload c,2000,2000,OVERALL,Throughput(ops/sec),1204.0939193257075,RunTime(ms),1661.0
51,run-2,Redis,workload c,2000,2000,OVERALL,Throughput(ops/sec),1805.0541516245487,RunTime(ms),1108.0
52,run-1,Redis,workload c,3000,3000,OVERALL,Throughput(ops/sec),1221.9959266802443,RunTime(ms),2455.0
53,run-2,Redis,workload c,3000,3000,OVERALL,Throughput(ops/sec),840.1008120974518,RunTime(ms),3571.0
54,run-1,Redis,workload d,1000,1000,OVERALL,Throughput(ops/sec),875.6567425569177,RunTime(ms),1142.0
55,run-2,Redis,workload d,1000,1000,OVERALL,Throughput(ops/sec),968.9922480620157,RunTime(ms),1032.0
56,run-1,Redis,workload d,2000,2000,OVERALL,Throughput(ops/sec),1133.7868480725626,RunTime(ms),1764.0
57,run-2,Redis,workload d,2000,2000,OVERALL,Throughput(ops/sec),1517.4506828528074,RunTime(ms),1318.0
58,run-1,Redis,workload d,3000,3000,OVERALL,Throughput(ops/sec),1423.8253440911249,RunTime(ms),2107.0
59,run-2,Redis,workload d,3000,3000,OVERALL,Throughput(ops/sec),1463.4146341463415,RunTime(ms),2050.0
60,run-1,Redis,workload f,1000,1000,OVERALL,Throughput(ops/sec),849.6176720475786,RunTime(ms),1177.0
61,run-2,Redis,workload f,1000,1000,OVERALL,Throughput(ops/sec),811.6883116883117,RunTime(ms),1232.0
62,run-1,Redis,workload f,2000,2000,OVERALL,Throughput(ops/sec),859.8452278589855,RunTime(ms),2326.0
63,run-2,Redis,workload f,2000,2000,OVERALL,Throughput(ops/sec),1025.6410256410256,RunTime(ms),1950.0
64,run-1,Redis,workload f,3000,3000,OVERALL,Throughput(ops/sec),873.1082654249127,RunTime(ms),3436.0
65,run-2,Redis,workload f,3000,3000,OVERALL,Throughput(ops/sec),390.57414399166777,RunTime(ms),7681.0
66,load-1,Redis,workload i,1000,1000,OVERALL,Throughput(ops/sec),853.9709649871904,RunTime(ms),1171.0
67,load-2,Redis,workload i,1000,1000,OVERALL,Throughput(ops/sec),792.3930269413629,RunTime(ms),1262.0
68,load-1,Redis,workload i,2000,2000,OVERALL,Throughput(ops/sec),858.000858000858,RunTime(ms),2331.0
69,load-2,Redis,workload i,2000,2000,OVERALL,Throughput(ops/sec),1114.2061281337046,RunTime(ms),1795.0
70,load-1,Redis,workload i,3000,3000,OVERALL,Throughput(ops/sec),810.8108108108107,RunTime(ms),3700.0
71,load-2,Redis,workload i,3000,3000,OVERALL,Throughput(ops/sec),828.729281767956,RunTime(ms),3620.0
72,run-1,Mongodb,workload a,1000,1000,OVERALL,Throughput(ops/sec),74.487895716946,RunTime(ms),13425.0
73,run-2,Mongodb,workload a,1000,1000,OVERALL,Throughput(ops/sec),36.30159363996079,RunTime(ms),27547.0
74,run-1,Mongodb,workload a,2000,2000,OVERALL,Throughput(ops/sec),19.293659138923992,RunTime(ms),103661.0
75,run-2,Mongodb,workload a,2000,2000,OVERALL,Throughput(ops/sec),38.28777088597902,RunTime(ms),52236.0
76,run-1,Mongodb,workload a,3000,3000,OVERALL,Throughput(ops/sec),175.96339961288052,RunTime(ms),17049.0
77,run-2,Mongodb,workload a,3000,3000,OVERALL,Throughput(ops/sec),105.1266776465641,RunTime(ms),28537.0
78,run-1,Mongodb,workload b,1000,1000,OVERALL,Throughput(ops/sec),109.91426687183996,RunTime(ms),9098.0
79,run-2,Mongodb,workload b,1000,1000,OVERALL,Throughput(ops/sec),111.64452383610585,RunTime(ms),8957.0
80,run-1,Mongodb,workload b,2000,2000,OVERALL,Throughput(ops/sec),172.2949689869056,RunTime(ms),11608.0
81,run-2,Mongodb,workload b,2000,2000,OVERALL,Throughput(ops/sec),187.0032725572697,RunTime(ms),10695.0
82,run-1,Mongodb,workload b,3000,3000,OVERALL,Throughput(ops/sec),186.08113137327874,RunTime(ms),16122.0
83,run-2,Mongodb,workload b,3000,3000,OVERALL,Throughput(ops/sec),186.9275344258209,RunTime(ms),16049.0
84,run-1,Mongodb,workload c,1000,1000,OVERALL,Throughput(ops/sec),108.76658690450293,RunTime(ms),9194.0
85,run-2,Mongodb,workload c,1000,1000,OVERALL,Throughput(ops/sec),108.07305738679348,RunTime(ms),9253.0
86,run-1,Mongodb,workload c,2000,2000,OVERALL,Throughput(ops/sec),170.76502732240436,RunTime(ms),11712.0
87,run-2,Mongodb,workload c,2000,2000,OVERALL,Throughput(ops/sec),186.58456945610598,RunTime(ms),10719.0
88,run-1,Mongodb,workload c,3000,3000,OVERALL,Throughput(ops/sec),199.16351324437363,RunTime(ms),15063.0
89,run-2,Mongodb,workload c,3000,3000,OVERALL,Throughput(ops/sec),182.42626938279113,RunTime(ms),16445.0
90,run-1,Mongodb,workload d,1000,1000,OVERALL,Throughput(ops/sec),100.23053021950486,RunTime(ms),9977.0
91,run-2,Mongodb,workload d,1000,1000,OVERALL,Throughput(ops/sec),109.69723562966213,RunTime(ms),9116.0
92,run-1,Mongodb,workload d,2000,2000,OVERALL,Throughput(ops/sec),169.46280291476018,RunTime(ms),11802.0
93,run-2,Mongodb,workload d,2000,2000,OVERALL,Throughput(ops/sec),169.89466530750934,RunTime(ms),11772.0
94,run-1,Mongodb,workload d,3000,3000,OVERALL,Throughput(ops/sec),191.27773527161443,RunTime(ms),15684.0
95,run-2,Mongodb,workload d,3000,3000,OVERALL,Throughput(ops/sec),191.22896481387048,RunTime(ms),15688.0
96,run-1,Mongodb,workload f,1000,1000,OVERALL,Throughput(ops/sec),86.43789437289307,RunTime(ms),11569.0
97,run-2,Mongodb,workload f,1000,1000,OVERALL,Throughput(ops/sec),95.21995810321845,RunTime(ms),10502.0
98,run-1,Mongodb,workload f,2000,2000,OVERALL,Throughput(ops/sec),136.3419455995637,RunTime(ms),14669.0
99,run-2,Mongodb,workload f,2000,2000,OVERALL,Throughput(ops/sec),137.9025029304282,RunTime(ms),14503.0
100,run-1,Mongodb,workload f,3000,3000,OVERALL,Throughput(ops/sec),146.06358634792346,RunTime(ms),20539.0
101,run-2,Mongodb,workload f,3000,3000,OVERALL,Throughput(ops/sec),153.1237239689669,RunTime(ms),19592.0
102,load-1,Mongodb,workload i,1000,1000,OVERALL,Throughput(ops/sec),72.5689404934688,RunTime(ms),13780.0
103,load-2,Mongodb,workload i,1000,1000,OVERALL,Throughput(ops/sec),20.147073637554143,RunTime(ms),49635.0
104,load-1,Mongodb,workload i,2000,2000,OVERALL,Throughput(ops/sec),32.92939936775553,RunTime(ms),60736.0
105,load-2,Mongodb,workload i,2000,2000,OVERALL,Throughput(ops/sec),27.390131335679754,RunTime(ms),73019.0
106,load-1,Mongodb,workload i,3000,3000,OVERALL,Throughput(ops/sec),101.35135135135135,RunTime(ms),29600.0
107,load-2,Mongodb,workload i,3000,3000,OVERALL,Throughput(ops/sec),87.70134767737598,RunTime(ms),34207.0
108,run-1,Cassandra,workload a,1000,1000,OVERALL,Throughput(ops/sec),64.47037586229128,RunTime(ms),15511.0
109,run-2,Cassandra,workload a,1000,1000,OVERALL,Throughput(ops/sec),67.736909842173,RunTime(ms),14763.0
110,run-1,Cassandra,workload a,2000,2000,OVERALL,Throughput(ops/sec),51.708981850147374,RunTime(ms),38678.0
111,run-2,Cassandra,workload a,2000,2000,OVERALL,Throughput(ops/sec),64.7123535883,RunTime(ms),30906.0
112,run-1,Cassandra,workload a,3000,3000,OVERALL,Throughput(ops/sec),114.46012972148036,RunTime(ms),26210.0
113,run-2,Cassandra,workload a,3000,3000,OVERALL,Throughput(ops/sec),130.4517980606166,RunTime(ms),22997.0
114,run-1,Cassandra,workload b,1000,1000,OVERALL,Throughput(ops/sec),96.42271719217048,RunTime(ms),10371.0
115,run-2,Cassandra,workload b,1000,1000,OVERALL,Throughput(ops/sec),145.2854859799506,RunTime(ms),6883.0
116,run-1,Cassandra,workload b,2000,2000,OVERALL,Throughput(ops/sec),100.41672942712256,RunTime(ms),19917.0
117,run-2,Cassandra,workload b,2000,2000,OVERALL,Throughput(ops/sec),202.90149132596127,RunTime(ms),9857.0
118,run-1,Cassandra,workload b,3000,3000,OVERALL,Throughput(ops/sec),118.8024710913987,RunTime(ms),25252.0
119,run-2,Cassandra,workload b,3000,3000,OVERALL,Throughput(ops/sec),115.70502931194076,RunTime(ms),25928.0
120,run-1,Cassandra,workload c,1000,1000,OVERALL,Throughput(ops/sec),140.7063458561981,RunTime(ms),7107.0
121,run-2,Cassandra,workload c,1000,1000,OVERALL,Throughput(ops/sec),175.10068289266331,RunTime(ms),5711.0
122,run-1,Cassandra,workload c,2000,2000,OVERALL,Throughput(ops/sec),228.2323405226521,RunTime(ms),8763.0
123,run-2,Cassandra,workload c,2000,2000,OVERALL,Throughput(ops/sec),239.37761819269898,RunTime(ms),8355.0
124,run-1,Cassandra,workload c,3000,3000,OVERALL,Throughput(ops/sec),106.64391596459421,RunTime(ms),28131.0
125,run-2,Cassandra,workload c,3000,3000,OVERALL,Throughput(ops/sec),234.72341757295987,RunTime(ms),12781.0
126,run-1,Cassandra,workload d,1000,1000,OVERALL,Throughput(ops/sec),151.4463122822959,RunTime(ms),6603.0
127,run-2,Cassandra,workload d,1000,1000,OVERALL,Throughput(ops/sec),143.74011786689664,RunTime(ms),6957.0
128,run-1,Cassandra,workload d,2000,2000,OVERALL,Throughput(ops/sec),109.9928504647198,RunTime(ms),18183.0
129,run-2,Cassandra,workload d,2000,2000,OVERALL,Throughput(ops/sec),209.38023450586263,RunTime(ms),9552.0
130,run-1,Cassandra,workload d,3000,3000,OVERALL,Throughput(ops/sec),146.6275659824047,RunTime(ms),20460.0
131,run-2,Cassandra,workload d,3000,3000,OVERALL,Throughput(ops/sec),119.85138428348849,RunTime(ms),25031.0
132,run-1,Cassandra,workload f,1000,1000,OVERALL,Throughput(ops/sec),130.66771200836274,RunTime(ms),7653.0
133,run-2,Cassandra,workload f,1000,1000,OVERALL,Throughput(ops/sec),55.23336095001381,RunTime(ms),18105.0
134,run-1,Cassandra,workload f,2000,2000,OVERALL,Throughput(ops/sec),95.96008060646773,RunTime(ms),20842.0
135,run-2,Cassandra,workload f,2000,2000,OVERALL,Throughput(ops/sec),121.57315664701235,RunTime(ms),16451.0
136,run-1,Cassandra,workload f,3000,3000,OVERALL,Throughput(ops/sec),92.09233791748528,RunTime(ms),32576.0
137,run-2,Cassandra,workload f,3000,3000,OVERALL,Throughput(ops/sec),68.51192107426692,RunTime(ms),43788.0
138,load-1,Cassandra,workload i,1000,1000,OVERALL,Throughput(ops/sec),49.536830633576066,RunTime(ms),20187.0
139,load-2,Cassandra,workload i,1000,1000,OVERALL,Throughput(ops/sec),69.32409012131716,RunTime(ms),14425.0
140,load-1,Cassandra,workload i,2000,2000,OVERALL,Throughput(ops/sec),74.60737866975043,RunTime(ms),26807.0
141,load-2,Cassandra,workload i,2000,2000,OVERALL,Throughput(ops/sec),86.29989212513485,RunTime(ms),23175.0
142,load-1,Cassandra,workload i,3000,3000,OVERALL,Throughput(ops/sec),90.5113893498265,RunTime(ms),33145.0
143,load-2,Cassandra,workload i,3000,3000,OVERALL,Throughput(ops/sec),140.1541695865452,RunTime(ms),21405.0
