run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
run-1,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-1,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-2,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-1,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-2,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-1,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
load-2,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-1,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00
run-2,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.00,RunTime(ms),0.00